Owner Name,Card Name,Set Name,Quantity,Purchase Price
Devin,"Karazikar, the Eye Tyrant",Forgotten Realms Commander,1,6.44
Devin,Vanishing Verse,Breaking News,1,0.15
Devin,Fear of Infinity,Duskmourn: House of Horror,1,0.05
Devin,Skullsnap Nuisance,Duskmourn: House of Horror,1,0.03
Devin,The Jolly Balloon Man,Duskmourn: House of Horror,1,0.79
Devin,"Rashmi, Eternities Crafter",Duskmourn: House of Horror Commander,1,0.17
Devin,"Kianne, Corrupted Memory",Duskmourn: House of Horror Commander,1,0.3
Devin,Oversimplify,Duskmourn: House of Horror Commander,1,0.11
Devin,Biomass Mutation,Duskmourn: House of Horror Commander,1,0.1
Devin,Dune Drifter,Aetherdrift,1,0.05
Devin,Perforating Artist,Foundations,1,0.11
Devin,"Zimone, Paradox Sculptor",Foundations,1,1.98
Devin,"Elenda, Saint of Dusk",Foundations,1,2.64
Devin,Thousand-Year Storm,Foundations,1,0.51
Devin,Regisaur Alpha,The Lost Caverns of Ixalan Commander,1,0.58
Devin,"Wernog, Rider's Chaplain",Universes Within,1,0.65
Devin,"Queza, Augur of Agonies",Streets of New Capenna,1,0.08
Devin,Syndicate Infiltrator,Streets of New Capenna,1,0.02
Devin,Body Dropper,Streets of New Capenna,1,0.04
Devin,"Balmor, Battlemage Captain",Dominaria United,1,0.11
Devin,"Raff, Weatherlight Stalwart",Dominaria United,1,0.05
Devin,Congregation at Dawn,Ravnica: City of Guilds,1,1.99
Devin,The Swarmweaver,Duskmourn: House of Horror,1,0.23
Devin,Gremlin Tamer,Duskmourn: House of Horror,1,0.12
Devin,Midnight Mayhem,Duskmourn: House of Horror,1,0.06
Devin,"Winter, Misanthropic Guide",Duskmourn: House of Horror,1,0.12
Devin,Vraska Joins Up,Outlaws of Thunder Junction,1,0.76
Devin,Honest Rutstein,Outlaws of Thunder Junction,1,0.28
Devin,"The Gitrog, Ravenous Ride",Outlaws of Thunder Junction,1,2.5
Devin,Ionize,Breaking News,1,0.14
Devin,Wrangler of the Damned,Outlaws of Thunder Junction,1,0.06
Devin,"Vraska, the Silencer",Outlaws of Thunder Junction,1,2.36
Devin,Badlands Revival,Outlaws of Thunder Junction,1,0.07
Devin,At Knifepoint,Outlaws of Thunder Junction,1,0.12
Devin,Laughing Jasper Flint,Outlaws of Thunder Junction,1,1.08
Devin,"Kambal, Profiteering Mayor",Outlaws of Thunder Junction,1,3.03
Devin,Ruthless Lawbringer,Outlaws of Thunder Junction,1,0.24
